Year,Labor Force
1990 [YR1990],45.02261709
1991 [YR1991],45.01872173
1992 [YR1992],45.01757069
1993 [YR1993],45.018446
1994 [YR1994],45.02007164
1995 [YR1995],45.02116974
1996 [YR1996],45.02874993
1997 [YR1997],45.03204395
1998 [YR1998],45.03263966
1999 [YR1999],45.03048103
2000 [YR2000],45.02671574
2001 [YR2001],44.93671048
2002 [YR2002],44.84551046
2003 [YR2003],44.75190604
2004 [YR2004],44.65312846
2005 [YR2005],44.55041418
2006 [YR2006],44.44965508
2007 [YR2007],44.34471858
2008 [YR2008],44.23718719
2009 [YR2009],44.12911632
2010 [YR2010],44.02049123
2011 [YR2011],44.09208019
2012 [YR2012],44.16177947
2013 [YR2013],44.24005293
2014 [YR2014],44.3237288
2015 [YR2015],44.41127499
2016 [YR2016],44.49946372
2017 [YR2017],44.59804705
2018 [YR2018],44.70278187
2019 [YR2019],44.80409241
2020 [YR2020],44.52896196
2021 [YR2021],44.50833156
